Rk,Player,Pos,Tm,Cap Hit,year
,Tom Johnson,DT,MIN,"$2,300,000",2016
,Stephen Gostkowski,K,NWE,"$2,300,000",2016
424.0,Ja'Wuan James,OT,MIA,"$2,298,654",2016
425.0,Kevin Johnson,CB,HOU,"$2,283,957",2016
426.0,Ha Ha Clinton-Dix,FS,GNB,"$2,274,137",2016
427.0,Laremy Tunsil,OT,MIA,"$2,265,027",2016
428.0,Matt Prater,K,DET,"$2,250,000",2016
,Karl Klug,DL,TEN,"$2,250,000",2016
,Eugene Sims,LB,LAR,"$2,250,000",2016
,Rob Gronkowski,TE,NWE,"$2,250,000",2016
,Derrick Shelby,DE,ATL,"$2,250,000",2016
,James Starks,RB,GNB,"$2,250,000",2016
434.0,Rashad Jennings,RB,NYG,"$2,230,000",2016
435.0,Dee Ford,DE,KAN,"$2,225,100",2016
436.0,Mike Adams,DB,IND,"$2,209,375",2016
437.0,Jamize Olawale,FB,OAK,"$2,190,000",2016
438.0,Kurt Coleman,LB,CAR,"$2,184,375",2016
439.0,Marcus Peters,CB,KAN,"$2,178,217",2016
440.0,Darqueze Dennard,CB,CIN,"$2,176,063",2016
441.0,Karl Joseph,SS,OAK,"$2,160,785",2016
442.0,Jason Verrett,CB,SDG,"$2,151,546",2016
443.0,Brad Nortman,P,JAX,"$2,150,000",2016
444.0,Cameron Erving,OT,CLE,"$2,142,969",2016
445.0,Matt Elam,SS,BAL,"$2,140,997",2016
446.0,Cedric Ogbuehi,OT,CIN,"$2,119,472",2016
447.0,Corey Coleman,WR,CLE,"$2,119,090",2016
448.0,Bud Dupree,DE,PIT,"$2,095,973",2016
449.0,Shareece Wright,DB,BAL,"$2,093,333",2016
450.0,Kelvin Benjamin,WR,CAR,"$2,090,250",2016
451.0,Shane Ray,DE,DEN,"$2,072,476",2016
452.0,Shaq Thompson,OLB,CAR,"$2,001,983",2016
453.0,Antonio Cromartie,DB,IND,"$2,000,000",2016
,Anthony Sherman,RB,KAN,"$2,000,000",2016
,Jeremy Lane,CB,SEA,"$2,000,000",2016
,Mark Sanchez,QB,DAL,"$2,000,000",2016
,Matt Cassel,QB,TEN,"$2,000,000",2016
,Von Miller,LB,DEN,"$2,000,000",2016
,Haloti Ngata,DT,DET,"$2,000,000",2016
,Nigel Bradham,OLB,PHI,"$2,000,000",2016
,Andre Holmes,WR,OAK,"$2,000,000",2016
,Ryan Fitzpatrick,QB,NYJ,"$2,000,000",2016
,Ricky Jean-Francois,DT,WAS,"$2,000,000",2016
,Kory Lichtensteiger,C,WAS,"$2,000,000",2016
,Karlos Dansby,LB,CIN,"$2,000,000",2016
,Brian Hoyer,QB,CHI,"$2,000,000",2016
467.0,Breshad Perriman,WR,BAL,"$1,978,481",2016
468.0,Keanu Neal,FS,ATL,"$1,952,299",2016
469.0,Derek Anderson,QB,CAR,"$1,950,000",2016
470.0,Ryan Kelly,C,IND,"$1,900,178",2016
471.0,Jarius Wright,WR,MIN,"$1,900,000",2016
472.0,Bradley Roby,CB,DEN,"$1,896,144",2016
473.0,Kendrick Lewis,DB,BAL,"$1,866,667",2016
